"","driverId","givenName","familyName","nationality","dateOfBirth","code","permanentNumber"
"1","albon","Alexander","Albon","Thai","1996-03-23","ALB","23"
"2","alonso","Fernando","Alonso","Spanish","1981-07-29","ALO","14"
"3","bottas","Valtteri","Bottas","Finnish","1989-08-28","BOT","77"
"4","gasly","Pierre","Gasly","French","1996-02-07","GAS","10"
"5","hamilton","Lewis","Hamilton","British","1985-01-07","HAM","44"
"6","hulkenberg","Nico","Hülkenberg","German","1987-08-19","HUL","27"
"7","latifi","Nicholas","Latifi","Canadian","1995-06-29","LAT","6"
"8","leclerc","Charles","Leclerc","Monegasque","1997-10-16","LEC","16"
"9","kevin_magnussen","Kevin","Magnussen","Danish","1992-10-05","MAG","20"
"10","norris","Lando","Norris","British","1999-11-13","NOR","4"
"11","ocon","Esteban","Ocon","French","1996-09-17","OCO","31"
"12","perez","Sergio","Pérez","Mexican","1990-01-26","PER","11"
"13","ricciardo","Daniel","Ricciardo","Australian","1989-07-01","RIC","3"
"14","russell","George","Russell","British","1998-02-15","RUS","63"
"15","sainz","Carlos","Sainz","Spanish","1994-09-01","SAI","55"
"16","mick_schumacher","Mick","Schumacher","German","1999-03-22","MSC","47"
"17","stroll","Lance","Stroll","Canadian","1998-10-29","STR","18"
"18","tsunoda","Yuki","Tsunoda","Japanese","2000-05-11","TSU","22"
"19","max_verstappen","Max","Verstappen","Dutch","1997-09-30","VER","33"
"20","vettel","Sebastian","Vettel","German","1987-07-03","VET","5"
"21","zhou","Guanyu","Zhou","Chinese","1999-05-30","ZHO","24"
