driverId,fullName,constructorId,constructorName,constructorColor,constructorColor2,constructorLogo,driverNumber,numberImage,season
albon,Alexander Albon,williams,Williams,#041e42,#00a3e0,https://upload.wikimedia.org/wikipedia/commons/f/f9/Logo_Williams_F1.png,23,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Albon-23.svg/1024px-Albon-23.svg.png,2022
alonso,Fernando Alonso,alpine,Alpine,#005ba9,#fd4bc7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alpine_F1_Team_Logo.svg/1200px-Alpine_F1_Team_Logo.svg.png,14,https://www.gran-turismo.com/gtsport/decal/4908929160648328720_1.png,2022
bottas,Valtteri Bottas,alfa,Alfa Romeo,#981E32,#f9f9f8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Logo_Alfa_Romeo_Racing_Orlen.svg/2560px-Logo_Alfa_Romeo_Racing_Orlen.svg.png,77,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Bottas-77.svg/1024px-Bottas-77.svg.png,2022
gasly,Pierre Gasly,alphatauri,AlphaTauri,#00293f,#f1f3f4,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Scuderia_Alpha-Tauri.svg/1200px-Scuderia_Alpha-Tauri.svg.png,10,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Gasly-10.svg/1200px-Gasly-10.svg.png,2022
hamilton,Lewis Hamilton,mercedes,Mercedes,#00a19c,#c6c6c6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Mercedes_AMG_Petronas_F1_Logo.svg/2560px-Mercedes_AMG_Petronas_F1_Logo.svg.png,44,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Hamilton-44.svg/2048px-Hamilton-44.svg.png,2022
hulkenberg,Nico HÙlkenberg,aston_martin,Aston Martin,#00352f,#00594f,https://upload.wikimedia.org/wikipedia/commons/2/2e/Aston_Martin_Aramco_Cognizant_F1_Team.jpg,27,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/H%C3%BClkenberg-27.svg/1200px-H%C3%BClkenberg-27.svg.png,2022
latifi,Nicholas Latifi,williams,Williams,#041e42,#00a3e0,https://upload.wikimedia.org/wikipedia/commons/f/f9/Logo_Williams_F1.png,6,https://i0.wp.com/www.mostlyf1.com/wp-content/uploads/2021/03/Nicholas-Latifi-Number-2021.png?resize=412%2C232&ssl=1,2022
leclerc,Charles Leclerc,ferrari,Ferrari,#a6051a,#ffeb00,https://upload.wikimedia.org/wikipedia/commons/6/69/Scuderia_Ferrari_%28cropped%29.png,16,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Leclerc-16.svg/1024px-Leclerc-16.svg.png,2022
kevin_magnussen,Kevin Magnussen,haas,Haas,#f9f2f2,#f62039,https://upload.wikimedia.org/wikipedia/commons/d/d4/Logo_Haas_F1.png,20,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Magnussen-20.svg/2048px-Magnussen-20.svg.png,2022
norris,Lando Norris,mclaren,McLaren,#ff8000,#47c7fc,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/2560px-McLaren_Racing_logo.svg.png,4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Norris-4.svg/1200px-Norris-4.svg.png,2022
ocon,Esteban Ocon,alpine,Alpine,#005ba9,#fd4bc7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alpine_F1_Team_Logo.svg/1200px-Alpine_F1_Team_Logo.svg.png,31,https://www.mpadeco.com/resize/500x500/zc/3/f/0/src/sites/mpadeco/files/products/aa398654e2bc11bd27b55b819b247c9b.png,2022
perez,Sergio P_rez,red_bull,Red Bull,#1b2b5a,#ff0026,https://i.pinimg.com/originals/52/77/d6/5277d67c316eec17ba55d08a66f1194e.png,11,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Perez-11.svg/1200px-Perez-11.svg.png,2022
ricciardo,Daniel Ricciardo,mclaren,McLaren,#ff8000,#47c7fc,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/2560px-McLaren_Racing_logo.svg.png,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ricciardo-3.svg/1200px-Ricciardo-3.svg.png,2022
russell,George Russell,mercedes,Mercedes,#00a19c,#c6c6c6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Mercedes_AMG_Petronas_F1_Logo.svg/2560px-Mercedes_AMG_Petronas_F1_Logo.svg.png,63,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Russel-63.svg/1200px-Russel-63.svg.png,2022
sainz,Carlos Sainz,ferrari,Ferrari,#a6051a,#ffeb00,https://upload.wikimedia.org/wikipedia/commons/6/69/Scuderia_Ferrari_%28cropped%29.png,55,https://www.gran-turismo.com/gtsport/decal/5765171587683713536_1.png,2022
mick_schumacher,Mick Schumacher,haas,Haas,#f9f2f2,#f62039,https://upload.wikimedia.org/wikipedia/commons/d/d4/Logo_Haas_F1.png,47,NA,2022
stroll,Lance Stroll,aston_martin,Aston Martin,#00352f,#00594f,https://upload.wikimedia.org/wikipedia/commons/2/2e/Aston_Martin_Aramco_Cognizant_F1_Team.jpg,18,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stroll-18.svg/2048px-Stroll-18.svg.png,2022
tsunoda,Yuki Tsunoda,alphatauri,AlphaTauri,#00293f,#f1f3f4,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Scuderia_Alpha-Tauri.svg/1200px-Scuderia_Alpha-Tauri.svg.png,22,https://www.gran-turismo.com/gtsport/decal/8502804961492468240_1.png,2022
max_verstappen,Max Verstappen,red_bull,Red Bull,#1b2b5a,#ff0026,https://i.pinimg.com/originals/52/77/d6/5277d67c316eec17ba55d08a66f1194e.png,33,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Verstappen-33.svg/512px-Verstappen-33.svg.png?20190318110444,2022
vettel,Sebastian Vettel,aston_martin,Aston Martin,#00352f,#00594f,https://upload.wikimedia.org/wikipedia/commons/2/2e/Aston_Martin_Aramco_Cognizant_F1_Team.jpg,5,https://www.gran-turismo.com/gtsport/decal/4909487721148352016_1.png,2022
zhou,Guanyu Zhou,alfa,Alfa Romeo,#981E32,#f9f9f8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Logo_Alfa_Romeo_Racing_Orlen.svg/2560px-Logo_Alfa_Romeo_Racing_Orlen.svg.png,24,NA,2022
