constructor_id,constructor_color,constructor_color2,constructor_logo
alpine,#FE86BC,#FF87BC,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alpine_F1_Team_Logo.svg/1200px-Alpine_F1_Team_Logo.svg.png
aston_martin,#006F62,#229971,https://upload.wikimedia.org/wikipedia/commons/2/2e/Aston_Martin_Aramco_Cognizant_F1_Team.jpg
ferrari,#DC0000,#E8002D,https://upload.wikimedia.org/wikipedia/commons/6/69/Scuderia_Ferrari_%28cropped%29.png
haas,#FFFFFF,#B6BABD,https://upload.wikimedia.org/wikipedia/commons/d/d4/Logo_Haas_F1.png
mclaren,#FF8700,#FF8000,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/2560px-McLaren_Racing_logo.svg.png
mercedes,#00D2BE,#27F4D2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Mercedes_AMG_Petronas_F1_Logo.svg/2560px-Mercedes_AMG_Petronas_F1_Logo.svg.png
rb,#1634CB,#6692FF,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/VCARB_F1_logo.svg/2880px-VCARB_F1_logo.svg.png
red_bull,#FCD700,#3671C6,https://upload.wikimedia.org/wikipedia/en/4/44/Red_bull_racing.png
sauber,#00E701,#52E252,https://upload.wikimedia.org/wikipedia/commons/e/e4/Logo_of_Stake_F1_Team_Kick_Sauber.png
williams,#00A0DD,#64C4FF,https://upload.wikimedia.org/wikipedia/commons/f/f9/Logo_Williams_F1.png
